ModelxMeasure;TP;TN;FP;FN;TError_I;TError_II;ACC;SENS;SPEC;BS;AUC;KS;CV_ACC_Mean;CV_AUC_Mean;Sector;Dataset;ModelScope;SplitYear;TrainRows;TestRows;TrainRowsUsed;TestRowsScored
XGB;3.0;26.0;7.0;0.0;21.21;0.0;0.8055555555555556;1.0;0.7878787878787878;0.1578945517539978;0.904040404040404;0.8484848484848485;0.7999999999999999;0.9;Academic & Educational Services;dataset11;sector_only;2015;45;36;14;36
XGB;3.0;28.0;5.0;0.0;15.15;0.0;0.8611111111111112;1.0;0.8484848484848485;0.13939708471298218;0.9292929292929293;0.8484848484848485;0.9298873101420873;0.9610590966968766;Academic & Educational Services;dataset11;global_on_sector_test;2015;7086;36;784;36
XGB;9.0;0.0;11.0;0.0;100.0;0.0;0.45;1.0;0.0;0.25;0.5;0.0;;;Academic & Educational Services;dataset21;sector_only;2015;11;20;6;20
XGB;9.0;11.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0008729005348868668;1.0;1.0;0.8646601941747573;0.9363121877651052;Academic & Educational Services;dataset21;global_on_sector_test;2015;5531;20;5150;20
XGB;5.0;15.0;10.0;6.0;40.0;54.55;0.5555555555555556;0.45454545454545453;0.6;0.28811779618263245;0.6054545454545455;0.3090909090909091;0.75;0.85;Academic & Educational Services;dataset31;sector_only;2015;45;36;20;36
XGB;10.0;22.0;3.0;1.0;12.0;9.09;0.8888888888888888;0.9090909090909091;0.88;0.10062259435653687;0.9636363636363636;0.8290909090909091;0.8767469869818292;0.9451688920326236;Academic & Educational Services;dataset31;global_on_sector_test;2015;7094;36;5574;36
XGB;;;;;;;;;;;;;;;Academic & Educational Services;dataset41;sector_only;2015;45;36;0;0
XGB;1.0;30.0;5.0;0.0;14.29;0.0;0.8611111111111112;1.0;0.8571428571428571;0.1317749321460724;0.9428571428571428;0.9428571428571428;0.9472222222222222;0.9655864197530863;Academic & Educational Services;dataset41;global_on_sector_test;2015;7094;36;360;36
XGB;1.0;11.0;13.0;0.0;54.17;0.0;0.48;1.0;0.4583333333333333;0.29554134607315063;0.75;0.75;0.6833333333333333;0.6;Academic & Educational Services;dataset12;sector_only;2015;44;25;18;25
XGB;1.0;21.0;3.0;0.0;12.5;0.0;0.88;1.0;0.875;0.07518940418958664;1.0;1.0;0.8114942528735632;0.884502576298058;Academic & Educational Services;dataset12;global_on_sector_test;2015;7069;25;870;25
XGB;2.0;3.0;9.0;1.0;75.0;33.33;0.3333333333333333;0.6666666666666666;0.25;0.3725559115409851;0.33333333333333337;0.08333333333333337;0.8;0.8;Academic & Educational Services;dataset22;sector_only;2015;13;15;10;15
XGB;3.0;4.0;8.0;0.0;66.67;0.0;0.4666666666666667;1.0;0.3333333333333333;0.2869853079319;0.8055555555555556;0.75;0.574421115317821;0.6012027278053443;Academic & Educational Services;dataset22;global_on_sector_test;2015;5731;15;5482;15
XGB;1.0;10.0;11.0;3.0;52.38;75.0;0.44;0.25;0.47619047619047616;0.3171709477901459;0.4523809523809524;0.33333333333333337;0.31999999999999995;0.3777777777777778;Academic & Educational Services;dataset32;sector_only;2015;44;25;28;25
XGB;3.0;15.0;6.0;1.0;28.57;25.0;0.72;0.75;0.7142857142857143;0.15552015602588654;0.8452380952380952;0.6071428571428572;0.6501016654862808;0.7084736047097998;Academic & Educational Services;dataset32;global_on_sector_test;2015;7080;25;5916;25
XGB;;;;;;;;;;;;;;;Academic & Educational Services;dataset42;sector_only;2015;44;25;0;0
XGB;0.0;23.0;2.0;0.0;8.0;;0.92;;0.92;0.061763662844896317;;;0.8002351097178682;0.8456491447241976;Academic & Educational Services;dataset42;global_on_sector_test;2015;7080;25;436;25
XGB;0.0;10.0;8.0;0.0;44.44;;0.5555555555555556;;0.5555555555555556;0.31221550703048706;;;0.45;0.5;Academic & Educational Services;dataset13;sector_only;2015;42;18;18;18
XGB;0.0;15.0;3.0;0.0;16.67;;0.8333333333333334;;0.8333333333333334;0.1283305287361145;;;0.7662921348314606;0.8275217775533392;Academic & Educational Services;dataset13;global_on_sector_test;2015;7054;18;890;18
XGB;2.0;2.0;6.0;2.0;75.0;50.0;0.3333333333333333;0.5;0.25;0.26387760043144226;0.375;0.0;;;Academic & Educational Services;dataset23;sector_only;2015;15;12;8;12
XGB;1.0;5.0;3.0;3.0;37.5;75.0;0.5;0.25;0.625;0.2789194881916046;0.5;0.25;0.5387029827025118;0.5575391065181486;Academic & Educational Services;dataset23;global_on_sector_test;2015;5903;12;5452;12
XGB;3.0;6.0;8.0;1.0;57.14;25.0;0.5;0.75;0.42857142857142855;0.3339618146419525;0.6428571428571428;0.32142857142857145;0.54;0.5222222222222223;Academic & Educational Services;dataset33;sector_only;2015;42;18;26;18
XGB;2.0;10.0;4.0;2.0;28.57;50.0;0.6666666666666666;0.5;0.7142857142857143;0.23289673030376434;0.625;0.39285714285714285;0.6004708891164132;0.6440295599950734;Academic & Educational Services;dataset33;global_on_sector_test;2015;7065;18;5892;18
XGB;;;;;;;;;;;;;;;Academic & Educational Services;dataset43;sector_only;2015;42;18;0;0
XGB;0.0;16.0;2.0;0.0;11.11;;0.8888888888888888;;0.8888888888888888;0.06841970980167389;;;0.7622222222222222;0.8399012345679013;Academic & Educational Services;dataset43;global_on_sector_test;2015;7065;18;450;18
XGB;27.0;408.0;53.0;3.0;11.5;10.0;0.8859470468431772;0.9;0.8850325379609545;0.0927664265036583;0.9546276211135214;0.8611713665943601;0.9168421052631579;0.9488888888888889;Basic Materials;dataset11;sector_only;2015;1306;491;98;491
XGB;29.0;403.0;58.0;1.0;12.58;3.33;0.879837067209776;0.9666666666666667;0.8741865509761388;0.10154827684164047;0.9494577006507592;0.8516992046276212;0.9298873101420873;0.9610590966968766;Basic Materials;dataset11;global_on_sector_test;2015;7086;491;784;491
XGB;221.0;174.0;26.0;30.0;13.0;11.95;0.8758314855875832;0.8804780876494024;0.87;0.0998138040304184;0.9450796812749004;0.752589641434263;0.8573750576012735;0.9302291665072575;Basic Materials;dataset21;sector_only;2015;1114;451;1094;451
XGB;229.0;176.0;24.0;22.0;12.0;8.76;0.8980044345898004;0.9123505976095617;0.88;0.08270756155252457;0.9538645418326692;0.8033665338645418;0.8646601941747573;0.9363121877651052;Basic Materials;dataset21;global_on_sector_test;2015;5531;451;5150;451
XGB;234.0;197.0;36.0;26.0;15.45;10.0;0.8742393509127789;0.9;0.8454935622317596;0.09931418299674988;0.9503301419610433;0.7543578738857709;0.8802844114692017;0.9433422673280003;Basic Materials;dataset31;sector_only;2015;1308;493;1136;493
XGB;246.0;206.0;27.0;14.0;11.59;5.38;0.9168356997971603;0.9461538461538461;0.8841201716738197;0.075873464345932;0.9605150214592275;0.8345658633212281;0.8767469869818292;0.9451688920326236;Basic Materials;dataset31;global_on_sector_test;2015;7094;493;5574;493
XGB;20.0;407.0;65.0;1.0;13.77;4.76;0.8661257606490872;0.9523809523809523;0.8622881355932204;0.1124434843659401;0.9091000807102502;0.8294995964487489;0.9636363636363636;0.9800000000000001;Basic Materials;dataset41;sector_only;2015;1308;493;56;493
XGB;21.0;408.0;64.0;0.0;13.56;0.0;0.8701825557809331;1.0;0.864406779661017;0.11102570593357086;0.9425948345439872;0.896186440677966;0.9472222222222222;0.9655864197530863;Basic Materials;dataset41;global_on_sector_test;2015;7094;493;360;493
