Sector;Dataset;SplitYear;ACC__global_on_sector_test;ACC__sector_only;AUC__global_on_sector_test;AUC__sector_only;BS__global_on_sector_test;BS__sector_only;CV_ACC_Mean__global_on_sector_test;CV_ACC_Mean__sector_only;CV_AUC_Mean__global_on_sector_test;CV_AUC_Mean__sector_only;KS__global_on_sector_test;KS__sector_only;Delta_AUC_global_minus_sector;Delta_ACC_global_minus_sector;Delta_KS_global_minus_sector;Delta_BS_global_minus_sector
Academic & Educational Services;dataset11;2015;0.8611111111111112;0.8055555555555556;0.9292929292929293;0.904040404040404;0.13939708471298218;0.1578945517539978;0.9298873101420873;0.7999999999999999;0.9610590966968766;0.9;0.8484848484848485;0.8484848484848485;0.025252525252525304;0.05555555555555558;0.0;-0.018497467041015625
Academic & Educational Services;dataset12;2015;0.88;0.48;1.0;0.75;0.07518940418958664;0.29554134607315063;0.8114942528735632;0.6833333333333333;0.884502576298058;0.6;1.0;0.75;0.25;0.4;0.25;-0.220351941883564
Academic & Educational Services;dataset13;2015;0.8333333333333334;0.5555555555555556;;;0.1283305287361145;0.31221550703048706;0.7662921348314606;0.45;0.8275217775533392;0.5;;;;0.2777777777777778;;-0.18388497829437256
Academic & Educational Services;dataset21;2015;1.0;0.45;1.0;0.5;0.0008729005348868668;0.25;0.8646601941747573;;0.9363121877651052;;1.0;0.0;0.5;0.55;1.0;-0.24912709946511313
Academic & Educational Services;dataset22;2015;0.4666666666666667;0.3333333333333333;0.8055555555555556;0.33333333333333337;0.2869853079319;0.3725559115409851;0.574421115317821;0.8;0.6012027278053443;0.8;0.75;0.08333333333333337;0.4722222222222222;0.13333333333333336;0.6666666666666666;-0.08557060360908508
Academic & Educational Services;dataset23;2015;0.5;0.3333333333333333;0.5;0.375;0.2789194881916046;0.26387760043144226;0.5387029827025118;;0.5575391065181486;;0.25;0.0;0.125;0.16666666666666669;0.25;0.015041887760162354
Academic & Educational Services;dataset31;2015;0.8888888888888888;0.5555555555555556;0.9636363636363636;0.6054545454545455;0.10062259435653687;0.28811779618263245;0.8767469869818292;0.75;0.9451688920326236;0.85;0.8290909090909091;0.3090909090909091;0.35818181818181816;0.33333333333333326;0.52;-0.18749520182609558
Academic & Educational Services;dataset32;2015;0.72;0.44;0.8452380952380952;0.4523809523809524;0.15552015602588654;0.3171709477901459;0.6501016654862808;0.31999999999999995;0.7084736047097998;0.3777777777777778;0.6071428571428572;0.33333333333333337;0.39285714285714285;0.27999999999999997;0.27380952380952384;-0.16165079176425934
Academic & Educational Services;dataset33;2015;0.6666666666666666;0.5;0.625;0.6428571428571428;0.23289673030376434;0.3339618146419525;0.6004708891164132;0.54;0.6440295599950734;0.5222222222222223;0.39285714285714285;0.32142857142857145;-0.017857142857142794;0.16666666666666663;0.0714285714285714;-0.10106508433818817
Academic & Educational Services;dataset41;2015;0.8611111111111112;;0.9428571428571428;;0.1317749321460724;;0.9472222222222222;;0.9655864197530863;;0.9428571428571428;;;;;
Academic & Educational Services;dataset42;2015;0.92;;;;0.061763662844896317;;0.8002351097178682;;0.8456491447241976;;;;;;;
Academic & Educational Services;dataset43;2015;0.8888888888888888;;;;0.06841970980167389;;0.7622222222222222;;0.8399012345679013;;;;;;;
Basic Materials;dataset11;2015;0.879837067209776;0.8859470468431772;0.9494577006507592;0.9546276211135214;0.10154827684164047;0.0927664265036583;0.9298873101420873;0.9168421052631579;0.9610590966968766;0.9488888888888889;0.8516992046276212;0.8611713665943601;-0.005169920462762212;-0.006109979633401208;-0.009472161966738946;0.008781850337982178
Basic Materials;dataset12;2015;0.7161125319693095;0.7800511508951407;0.8257400257400256;0.8153153153153153;0.22954759001731873;0.17827191948890686;0.8114942528735632;0.7272727272727273;0.884502576298058;0.7851239669421487;0.681081081081081;0.5831402831402832;0.01042471042471027;-0.06393861892583119;0.0979407979407978;0.051275670528411865
Basic Materials;dataset13;2015;0.7241379310344828;0.6758620689655173;0.7386666666666667;0.6523636363636363;0.22786475718021393;0.23538713157176971;0.7662921348314606;0.6782608695652174;0.8275217775533392;0.7542929292929292;0.3915151515151515;0.3842424242424243;0.08630303030303044;0.0482758620689655;0.0072727272727272085;-0.007522374391555786
Basic Materials;dataset21;2015;0.8980044345898004;0.8758314855875832;0.9538645418326692;0.9450796812749004;0.08270756155252457;0.0998138040304184;0.8646601941747573;0.8573750576012735;0.9363121877651052;0.9302291665072575;0.8033665338645418;0.752589641434263;0.008784860557768837;0.022172949002217224;0.05077689243027883;-0.01710624247789383
Basic Materials;dataset22;2015;0.49175824175824173;0.49725274725274726;0.5072114656243372;0.5214071448050177;0.2992801070213318;0.34316253662109375;0.574421115317821;0.5602949852507375;0.6012027278053443;0.5846184397480505;0.09747598703148197;0.11586825440111503;-0.014195679180680543;-0.0054945054945055305;-0.018392267369633064;-0.04388242959976196
Basic Materials;dataset23;2015;0.5274725274725275;0.5018315018315018;0.5368579411132604;0.481785944551902;0.2866705060005188;0.3421720862388611;0.5387029827025118;0.5291905354919053;0.5575391065181486;0.5604926832966866;0.10186976144422955;0.026112185686653855;0.05507199656135836;0.02564102564102566;0.07575757575757569;-0.055501580238342285
Basic Materials;dataset31;2015;0.9168356997971603;0.8742393509127789;0.9605150214592275;0.9503301419610433;0.075873464345932;0.09931418299674988;0.8767469869818292;0.8802844114692017;0.9451688920326236;0.9433422673280003;0.8345658633212281;0.7543578738857709;0.010184879498184252;0.04259634888438135;0.08020798943545715;-0.02344071865081787
